gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,ceq,csho,ebit,ni,sale,costat,prcc_c,act,at,ch,dltt,ebit,lct,tie,city,invt,emp,cogs
1004,20200531,2019,INDL,C,D,STD,AIR,USD,902.6,35.097,108.4,4.4,2089.3,A,45.1,1438.7,2079,404.7,670.9,108.4,383.1,,Wood Dale,692.7,5.4,1726.7
1045,20191231,2019,INDL,C,D,STD,AAL,USD,-118,428.203,3706,1686,45768,A,28.68,8206,59995,280,28875,3706,18311,,Fort Worth,1851,133.7,32027
1050,20191231,2019,INDL,C,D,STD,CECE,USD,193.017,35.137,19.622,17.707,341.869,A,7.66,179.498,408.637,35.602,81.457,19.622,115.188,,Dallas,55.383,0.83,225.66
1075,20191231,2019,INDL,C,D,STD,PNW,USD,5430.648,112.436,671.96,538.32,3471.209,A,89.93,1030.03,18479.247,10.283,4884.43,671.96,2078.365,,Phoenix,345.92,6.21,2208.32
1076,20191231,2019,INDL,C,D,STD,PRG,USD,1737.259,66.718,313.931,31.472,3947.656,A,57.11,,3297.8,57.755,626.53,313.931,,,Draper,14,12.1,137.253
1078,20191231,2019,INDL,C,D,STD,ABT,USD,31088,1762.503,5041,3687,31904,A,86.86,15667,67887,3860,17416,5041,10863,,North Chicago,4316,107,11949
1161,20191231,2019,INDL,C,D,STD,AMD,USD,2827,1170,583,341,6731,A,45.86,4597,6028,1466,685,583,2359,,Santa Clara,982,11.4,3721
1209,20190930,2019,INDL,C,D,STD,APD,USD,11053.6,220.415,2120.5,1760,8918.9,A,234.99,4618.3,18942.8,2248.7,3227.4,2120.5,1820.9,,Allentown,388.3,17.7,4892.7
1230,20191231,2019,INDL,C,D,STD,ALK,USD,4331,123,1107,769,8781,A,67.75,2037,12993,221,2703,1107,3201,,Seattle,72,24.134,6379
1234,20191231,2019,INDL,C,D,STD,ATRI,USD,237.87,1.855,40.529,36.761,155.066,A,751.5,132.338,262.031,45.048,0.268,40.529,11.274,,Allen,42.093,0.616,73.525
1254,20191231,2019,INDL,C,D,STD,MATX,USD,805.7,42.9,108.3,82.7,2203.1,A,40.8,289.6,2845.4,21.2,1108,108.3,436.7,,Honolulu,0,1.988,1780.6
1257,20191231,2019,INDL,C,D,STD,ALX,USD,253.515,5.107,99.489,60.075,226.35,A,330.35,,1265.511,298.063,975.806,99.489,,,Paramus,0,0.069,121.089
1266,20190930,2019,INDL,C,D,STD,ALCO,USD,194.303,7.477,29.828,37.833,122.251,A,35.83,61.977,417.388,18.63,156.742,29.828,28.951,,Fort Myers,40.143,0.235,64.05
1274,20191231,2019,INDL,C,D,STD,Y,USD,8776.734,14.365,1208.593,857.801,9025.716,A,799.57,,26931.604,1179.098,1992.213,1208.593,,,New York,,10.786,7697.61
1300,20191231,2019,INDL,C,D,STD,HON,USD,18494,711.1,7397,6143,36709,A,177,24303,58679,9067,11644,7397,18098,,Charlotte,4421,113,22975
1327,20190930,2019,INDL,C,D,STD,SWKS,USD,4122.3,170.1,1042.1,853.6,3376.8,A,120.88,2234.6,4839.6,851.3,0,1042.1,374,,Irvine,609.7,9,1353
1380,20191231,2019,INDL,C,D,STD,HES,USD,8732,304.955,637,-408,6495,A,66.81,3156,21782,1545,7733,637,2510,,New York,261,1.775,3106
1393,20200331,2019,INDL,C,D,STD,UHAL,USD,4220.72,19.608,512.313,442.048,3978.868,A,375.82,,13438.024,494.352,4268.55,512.313,,,Reno,101.083,30,2802.435
1410,20191031,2019,INDL,C,D,STD,ABM,USD,1542,66.571,225.9,127.4,6498.6,A,37.71,1275.4,3692.6,58.5,744.2,225.9,902.4,,New York,0,140,5718.7
1414,20191231,2019,INDL,C,D,STD,PRI,USD,1652.491,41.207,505.922,366.391,2052.504,A,130.56,,13688.531,256.876,1611.988,505.922,,,Duluth,43.233,2.803,1528.282
1439,20191231,2019,INDL,C,D,STD,ECOL,USD,1011.38,31.461,74.094,33.14,685.509,A,57.91,332.971,2231.244,41.281,822.104,74.094,180.77,,Boise,0,3.8,421.373
1440,20191231,2019,INDL,C,D,STD,AEP,USD,19632.2,494.169,2592.3,1921.1,15561.4,A,94.51,4077.8,75892.3,246.8,26110.6,2592.3,10299.1,,Columbus,1169.2,17.408,10454.6
1447,20191231,2019,INDL,C,D,STD,AXP,USD,23071,810,9582,6759,47020,A,124.49,,198321,23932,43003,9582,,,New York,0,64.5,36250
1449,20191231,2019,INDL,C,D,STD,AFL,USD,28959,726.793,4735,3304,22369,A,52.9,,152768,4896,6569,4735,,,Columbus,0,11.729,17594
